hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1994,2,99.95,99.29,4.029,39339,27674.02,19.925,2.596,11.923,8.836,6.1,-1.669,01-02-1994,467.1400146
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1994,3,100.32,99.36,4.029,39339,27674.02,19.925,2.596,11.923,8.836,6.1,-1.669,01-03-1994,445.769989
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1994,4,99.84,99.44,4.029,39339,27674.02,19.925,2.596,11.923,8.836,6.1,-1.669,01-04-1994,450.9100037
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1995,1,99.66,99.63,2.684,39919.87,28671.48,19.741,2.805,8.003,10.274,5.592,-1.487,01-01-1995,470.4200134
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1995,2,100.17,99.46,2.684,39919.87,28671.48,19.741,2.805,8.003,10.274,5.592,-1.487,01-02-1995,487.3900146
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1995,3,100.61,99.63,2.684,39919.87,28671.48,19.741,2.805,8.003,10.274,5.592,-1.487,01-03-1995,500.7099915
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1995,4,99.81,99.48,2.684,39919.87,28671.48,19.741,2.805,8.003,10.274,5.592,-1.487,01-04-1995,514.710022
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1996,1,100.11,100.08,3.772,40946,29946.97,19.73,2.937,8.697,8.178,5.408,-1.546,01-01-1996,636.0200195
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1996,2,101.05,100.27,3.772,40946,29946.97,19.73,2.937,8.697,8.178,5.408,-1.546,01-02-1996,640.4299927
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1996,3,101.89,100.92,3.772,40946,29946.97,19.73,2.937,8.697,8.178,5.408,-1.546,01-03-1996,645.5
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1996,4,101.53,101.24,3.772,40946,29946.97,19.73,2.937,8.697,8.178,5.408,-1.546,01-04-1996,654.1699829
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1997,1,101.94,101.89,4.447,42258.86,31440.09,19.807,2.338,13.468,11.912,4.942,-1.641,01-01-1997,786.1599731
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1997,2,103.68,102.81,4.447,42258.86,31440.09,19.807,2.338,13.468,11.912,4.942,-1.641,01-02-1997,790.8200073
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1997,3,105.05,104.09,4.447,42258.86,31440.09,19.807,2.338,13.468,11.912,4.942,-1.641,01-03-1997,757.1199951
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1997,4,106.28,105.98,4.447,42258.86,31440.09,19.807,2.338,13.468,11.912,4.942,-1.641,01-04-1997,801.3400269
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1998,1,108.05,108.01,4.481,43640.76,32833.67,20.138,1.547,11.686,2.332,4.5,-2.373,01-01-1998,980.2800293
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1998,2,111.07,110.08,4.481,43640.76,32833.67,20.138,1.547,11.686,2.332,4.5,-2.373,01-02-1998,1049.339966
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1998,3,113.17,112.17,4.481,43640.76,32833.67,20.138,1.547,11.686,2.332,4.5,-2.373,01-03-1998,1101.75
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1998,4,114.92,114.57,4.481,43640.76,32833.67,20.138,1.547,11.686,2.332,4.5,-2.373,01-04-1998,1111.75
traditional,expanded-data,quarterly,USA or Census Division,Pacific Division,DV_PAC,1999,1,116.98,116.97,4.795,45213.48,34496.24,20.402,2.193,11.594,4.985,4.217,-2.976,01-01-1999,1279.640015
